stop_id,stop_name,route,nearest_sheltered_stop_id,nearest_sheltered_stop_name,distance_m,walk_min,no_shelter_within_5min
1290,Alachua County Courthouse,1,1216,Arlington Square Apartments,264,3.3,False
442,Southbound SW 13th Street @ Inner Road,1,362,Social 28 Apartments,169,2.1,False
1547,Sam's Club,1,1492,Butler Plaza,231,2.9,False
1323,College Manor Apartments,1,1159,Phi Kappa Tau,86,1.1,False
39,The Bartram Apartments,1,39,The Bartram Apartments,0,0.0,False
37,Brandywine Apartments,1,37,Brandywine Apartments,0,0.0,False
22,Country Village,1,38,University Commons,53,0.7,False
42,Shands Hospital @ Center Drive,1,42,Shands Hospital @ Center Drive,0,0.0,False
1549,Hilton Garden Inn,1,1493,Butler Plaza Transfer Station,252,3.2,False
1306,Publix at Butler Plaza,1,1306,Publix at Butler Plaza,0,0.0,False
2,Hampton Inn Hotel,1,1216,Arlington Square Apartments,145,1.8,False
7,Infinity Hall,1,1159,Phi Kappa Tau,394,4.9,False
1206,Arlington Square Apartments,1,1216,Arlington Square Apartments,30,0.4,False
1216,Arlington Square Apartments,1,1216,Arlington Square Apartments,0,0.0,False
1349,Hilton Garden Inn,1,1493,Butler Plaza Transfer Station,317,4.0,False
26,Whole Foods @ Butler Town Center,1,1306,Publix at Butler Plaza,428,5.4,True
1159,Phi Kappa Tau,1,1159,Phi Kappa Tau,0,0.0,False
14,Frazier Rogers Hall,1,14,Frazier Rogers Hall,0,0.0,False
1,Rosa Parks RTS Downtown Station,1,1,Rosa Parks RTS Downtown Station,0,0.0,False
53,Innovation Square East,1,1159,Phi Kappa Tau,574,7.2,True
1492,Butler Plaza,1,1492,Butler Plaza,0,0.0,False
52,Eastbound SW 2nd Avenue @ SW 10th Street,1,1159,Phi Kappa Tau,316,3.9,False
441,Tigert Hall,1,441,Tigert Hall,0,0.0,False
27,Chili's Grill and Bar @ Butler Plaza,1,1306,Publix at Butler Plaza,311,3.9,False
40,Shands Care Helicopter Pad,1,16,Shands Hospital @ Center Drive,617,7.7,True
24,Take 5 Car Wash,1,35,Silver Creek Apartments,64,0.8,False
15,Center Dr @ Museum Rd,1,43,Center Dr @ Museum Rd,46,0.6,False
472,Rawlings Hall,1,472,Rawlings Hall,0,0.0,False
1632,Inner Road Eastbound,1,472,Rawlings Hall,250,3.1,False
