area,area_rank,citywide_rank,stop_id,stop_name,routes,daily_trips,mean_lst_f,shelter_status,pct_no_vehicle,pct_65_plus,score
off campus,1,14.0,365,Theory Apartments,"8,10,13",96,112.24090881347657,none,21.1,1.9,6.22
off campus,2,21.0,808,Hilton University of Florida Conference Center,"20,21",90,115.491259765625,none,15.6,3.3,5.45
off campus,3,23.0,838,34th St Plaza,"20,21",90,111.51049874441964,none,15.6,3.3,5.32
off campus,4,24.0,363,SW 13th Street & W University Avenue,"8,13",76,107.10052719116212,none,21.1,1.9,5.31
off campus,5,26.0,1181,UF Orthopaedics Institute,"33,52",73,113.80836109834556,none,15.6,3.3,5.18
off campus,6,27.0,364,Publix @ NW 13th St and W Univ Ave,"8,10,13",96,112.03301478794644,unknown,21.1,1.9,5.17
off campus,7,28.0,815,Daily Mart,"20,52",73,111.81045209099264,none,15.6,3.3,5.11
off campus,8,30.0,1027,Best Buy @ Butler Plaza,37,54,114.35896072387696,none,15.6,3.3,4.84
off campus,9,31.0,1305,Best Buy @ Butler Plaza,37,52,113.40689697265626,none,15.6,3.3,4.77
off campus,10,35.0,1554,Marshall's @ Plaza Blvd (Westbound),33,61,107.94032505580358,none,15.6,3.3,4.58
on campus,1,1.0,807,University Village South Apartments,"20,21,33,52",163,107.85834350585938,none,49.8,0.0,10.48
on campus,2,2.0,966,Weimer Hall,"9,12,33,38,118",248,110.68325334821428,none,30.5,0.0,8.88
on campus,3,3.0,842,Southwest Recreation Center,20,61,109.30809674944196,none,49.8,0.0,8.74
on campus,4,4.0,1254,Gator Corner Dining Facility @ Gale Lemerand,"9,12,33,38,118",248,109.6195068359375,none,30.5,0.0,8.71
on campus,5,5.0,806,Southwest Recreation Center,20,61,108.19435388901654,none,49.8,0.0,8.56
on campus,6,6.0,1192,Turlington Hall,"9,12,33,38",210,109.81488141741072,none,30.5,0.0,8.49
on campus,7,7.0,478,IFAS Lab,"9,12,21,33,52",194,105.77591409122245,unknown,49.8,0.0,8.24
on campus,8,8.0,1180,Southwest Recreation Center,"21,33,52",102,109.50015411376953,unknown,49.8,0.0,8.22
on campus,9,9.0,44,Frazier Rogers Hall (Eastbound),"1,8,20,21,37,43,52",229,106.47446637834824,none,30.5,0.0,7.83
on campus,10,10.0,1193,Rawlings Hall,"1,9,12,33,38",252,107.50114188058036,unknown,30.5,0.0,6.93
