rank,stop_id,stop_name,tract_geoid,households,pct_no_vehicle_est,moe_pts,pct_draws_in_top20,median_rank_simulated
1.0,807,University Village South Apartments,12001000901,237,49.8,28.7,98.0,1.0
2.0,966,Weimer Hall,12001000902,164,30.5,16.9,100.0,2.0
3.0,842,Southwest Recreation Center,12001000901,237,49.8,28.7,95.0,4.0
4.0,1254,Gator Corner Dining Facility @ Gale Lemerand,12001000902,164,30.5,16.9,100.0,3.0
5.0,806,Southwest Recreation Center,12001000901,237,49.8,28.7,94.0,6.0
6.0,1192,Turlington Hall,12001000902,164,30.5,16.9,99.0,5.0
7.0,478,IFAS Lab,12001000901,237,49.8,28.7,91.0,7.0
8.0,1180,Southwest Recreation Center,12001000901,237,49.8,28.7,90.0,8.0
9.0,44,Frazier Rogers Hall (Eastbound),12001000902,164,30.5,16.9,98.0,9.0
10.0,1193,Rawlings Hall,12001000902,164,30.5,16.9,95.0,11.0
11.0,849,Hume Hall (Eastbound),12001000901,237,49.8,28.7,75.0,12.0
12.0,15,Center Dr @ Museum Rd,12001000902,164,30.5,16.9,91.0,12.0
13.0,925,The HUB,12001000902,164,30.5,16.9,87.0,13.0
14.0,365,Theory Apartments,12001000201,2308,21.1,10.6,73.0,13.0
15.0,473,Reitz Union,12001000902,164,30.5,16.9,76.0,15.0
16.0,926,Leigh Hall,12001000902,164,30.5,16.9,68.0,17.0
17.0,468,Parking & Transportation Services,12001000902,164,30.5,16.9,59.0,19.0
18.0,198,St. Augustine Catholic Church,12001000902,164,30.5,16.9,55.0,20.0
19.0,199,Keene Flint Hall,12001000902,164,30.5,16.9,46.0,21.0
20.0,200,Anderson Hall,12001000902,164,30.5,16.9,41.0,22.0
21.0,808,Hilton University of Florida Conference Center,12001001522,4386,15.6,7.6,51.0,20.0
22.0,927,Ben Hill Griffin Stadium North End Zone,12001000902,164,30.5,16.9,30.0,23.0
23.0,838,34th St Plaza,12001001522,4386,15.6,7.6,44.0,23.0
24.0,363,SW 13th Street & W University Avenue,12001000201,2308,21.1,10.6,40.0,23.0
25.0,197,Ben Hill Griffin Stadium,12001000902,164,30.5,16.9,11.0,26.0
26.0,1181,UF Orthopaedics Institute,12001001522,4386,15.6,7.6,35.0,26.0
27.0,364,Publix @ NW 13th St and W Univ Ave,12001000201,2308,21.1,10.6,33.0,27.0
28.0,815,Daily Mart,12001001522,4386,15.6,7.6,28.0,27.0
29.0,472,Rawlings Hall,12001000902,164,30.5,16.9,7.0,28.0
