route_rank,route,route_name,ranked_stops,avg_score,stops_in_top50,pct_unsheltered,pct_unknown,avg_lst_c
1,33,Butler Plaza to The Hub,36,4.17,17,44.0,28.0,39.7
2,38,Reitz Union to Gainesville Place,31,3.77,8,52.0,6.0,40.1
3,21,Reitz Union To Liv Apartments,38,3.68,14,50.0,18.0,39.6
4,118,Park-N-Ride 1 (Cultural Plaza) To The Hub,23,3.64,6,57.0,26.0,38.6
5,1,Downtown Station to Butler Plaza,54,3.15,13,50.0,15.0,39.7
6,20,Reitz Union To Oaks Mall,48,3.08,12,56.0,12.0,38.6
7,9,Reitz Union To Hunters Run,41,3.06,11,44.0,34.0,38.4
8,12,The Hub to Dollar General,50,2.95,11,48.0,30.0,38.5
9,52,Reitz Union to Jonesville,62,2.78,13,50.0,32.0,38.7
10,37,Reitz Union to Butler Plaza Transfer Station,45,2.46,10,36.0,33.0,38.3
11,15,Downtown Station To NW 13 Street / NW 23 Avenue,71,2.23,1,42.0,54.0,39.1
12,5,Downtown Station to Oaks Mall,54,2.16,6,63.0,20.0,38.5
13,75,Oaks Mall to Butler Plaza,83,1.91,1,69.0,12.0,38.5
14,26,Downtown Station to Airport,50,1.87,0,42.0,44.0,38.8
15,8,UF Health To N Walmart Supercenter,84,1.83,8,70.0,13.0,38.8
16,3,Downtown Station to N Main Post Office,48,1.81,0,75.0,15.0,38.4
17,43,UF Health to Santa Fe College,86,1.8,7,66.0,17.0,37.8
18,13,US 441 to Alight Apartments,45,1.78,6,53.0,33.0,37.0
19,10,Downtown Station To Santa Fe College,65,1.75,5,72.0,18.0,38.0
20,6,Downtown Station to N Walmart Supercenter,57,1.65,0,37.0,61.0,38.7
21,17,Beaty Towers To Rosa Parks Downtown Station,29,1.51,0,38.0,38.0,37.0
22,55,Blount Center To Santa Fe College,73,1.46,0,62.0,33.0,38.2
23,11,Downtown Station To Eastwood Meadows,52,1.39,1,6.0,85.0,37.8
24,7,Downtown Station to Eastwood Meadows,63,1.34,0,30.0,68.0,37.7
25,23,Butler Plaza to Santa Fe College,41,1.28,1,61.0,22.0,36.9
26,76,Haile Plantation To Santa Fe College,46,1.15,0,61.0,30.0,36.9
