stop_id,stop_name,stop_lat,stop_lon,routes,daily_trips,mean_lst_c,pct_green,pct_no_vehicle,pct_65_plus,shelter_status,lst_percentile,shelter_factor,social_vulnerability,shade_need,shade_need_rank,top20_shade_need
724,Westbound NE 39th Ave at Main St - Gsville Nissan,29.688531,-82.319097,15,23,43.66512522977941,7.1,16.82586333578251,25.576208178438662,none,0.9717444717444718,1.5,1.2299724677763333,1.6655,1,True
254,Big Lot on NW 13th Street,29.675139,-82.33899,"6,15",37,42.79223293728299,5.1,11.592076302274394,26.838966202783297,none,0.9422604422604423,1.5,1.1556368975586597,1.5501,2,True
1099,SUBWAY@ Newberry RD,29.659774,-82.41348,"23,75",51,44.33612234933036,16.2,5.506141465480729,33.90179910044978,none,0.9815724815724816,1.5,1.206260677875137,1.4883,3,True
1318,GRACE Marketplace,29.683571,-82.286172,26,13,41.821849926097975,22.9,16.82586333578251,25.576208178438662,none,0.9054054054054054,1.5,1.2299724677763333,1.2879,4,True
249,NW 16th Ave NW 13th St,29.666801,-82.340521,10,20,44.94901090054898,20.8,7.312925170068027,27.624720774385704,none,0.9914004914004914,1.5,1.0888165256526365,1.2824,5,True
1180,Southwest Recreation Center,29.637786,-82.368346,"21,33,52",102,43.055641174316406,15.0,49.78902953586498,0.0,unknown,0.952088452088452,1.25,1.2663883344795444,1.2811,6,True
737,Wawa @ NW 13th St,29.674053,-82.338429,"6,15",37,42.64845842633929,6.1,11.592076302274394,26.838966202783297,unknown,0.9373464373464373,1.25,1.1556368975586597,1.2714,7,True
1165,Hills Mini Storage,29.685727,-82.290364,26,13,43.270064742476855,31.3,16.82586333578251,25.576208178438662,none,0.9606879606879607,1.5,1.2299724677763333,1.2177,8,True
1100,West Newberry Rd Nearside NW 69th Ter,29.659768,-82.415987,"23,75",51,43.04347795758929,29.7,5.506141465480729,33.90179910044978,none,0.9508599508599509,1.5,1.206260677875137,1.2095,9,True
807,University Village South Apartments,29.637748,-82.370373,"20,21,33,52",163,42.14352416992188,32.9,49.78902953586498,0.0,none,0.9226044226044227,1.5,1.2663883344795444,1.176,10,True
1614,Celebration Pointe SW 45th St & SW 31st Pl,29.624398,-82.394318,75,27,44.24810791015625,4.1,16.47440519105984,14.393255043661547,unknown,0.9803439803439803,1.25,0.9489253902276394,1.1152,11,True
744,Wade Raulerson Honda Dealership,29.688307,-82.318521,15,23,43.40099748883929,7.4,18.24006834686032,13.6077655941039,unknown,0.9643734643734644,1.25,0.9651958455349003,1.0774,12,True
