stop_id,afternoon_trips
1,164
100,6
1000,10
1001,10
1002,11
1003,11
1004,11
1005,11
1006,11
1007,11
1008,11
1009,11
101,6
1010,11
1011,11
1012,11
1013,11
1014,5
1015,5
1016,5
1017,5
1018,5
1019,5
1020,5
1022,5
1023,5
1024,5
1025,5
1026,5
1027,24
103,6
1033,9
1034,9
1035,9
1036,9
1038,9
1039,9
1040,9
1041,9
1042,9
1043,9
1044,9
1046,9
1047,9
1048,9
1049,9
1050,9
1051,14
1053,14
1054,14
1055,19
1056,9
1057,9
1058,9
1059,10
1061,9
1062,10
1063,21
1064,21
1065,15
1066,15
1067,15
1068,5
1069,5
107,12
1072,10
1078,9
1079,9
108,6
1081,9
1082,9
1083,9
1084,9
1085,9
1087,9
1089,9
109,6
1091,9
1093,9
1094,9
1096,21
1097,21
1098,22
1099,22
110,6
1100,22
1101,10
1102,10
1103,10
1104,10
1105,10
1108,6
1109,10
111,6
1110,10
1111,10
1112,10
1113,10
1114,10
1115,10
1116,10
1117,10
1118,10
1119,10
1120,10
1121,10
1122,10
1123,10
1124,10
1125,10
1126,10
113,6
1135,22
1136,22
1137,42
1138,42
1139,42
1140,18
1141,20
115,6
1153,23
1154,23
1159,20
116,6
1165,5
1166,5
1168,11
1169,11
1170,6
1173,50
1174,73
1176,50
1177,51
1179,74
1180,50
1181,34
1183,46
1184,23
1185,23
1186,23
1187,23
1192,92
1193,113
1194,69
1206,50
1213,18
1216,49
122,6
1221,6
1222,6
1223,6
1234,17
1235,18
1236,12
1237,33
1239,6
124,6
1240,6
125,6
1252,9
1253,117
1254,117
1259,6
1261,11
1264,29
1267,22
1268,22
1269,23
127,6
1270,23
1273,28
1274,12
1275,12
1276,12
1277,12
1278,12
1279,12
128,6
1280,12
1283,12
1284,12
1285,12
1286,12
1287,12
1288,12
1289,12
129,6
1290,20
13,51
1300,24
1301,24
1302,24
1303,24
1304,24
1305,24
1306,20
131,6
1311,6
1312,6
1317,5
1318,5
1319,5
132,6
1320,10
1321,24
1322,24
1323,20
1325,5
1326,30
1329,5
133,6
1330,5
1333,23
1337,46
134,15
1341,23
1343,5
1349,44
135,15
1351,16
1352,16
1359,5
136,15
1363,20
1364,6
1372,12
1373,29
1374,11
1377,5
1378,5
1379,5
1380,5
1381,6
1384,5
1386,5
1387,5
1388,6
1389,6
139,24
1391,6
1392,5
1393,5
1394,6
1395,6
1396,11
1397,10
1398,11
14,66
140,16
1400,11
1402,16
1405,10
1407,10
142,16
1420,34
1427,5
1428,5
143,16
1430,5
1439,6
144,17
1440,6
1444,58
1447,12
145,17
1453,6
1454,6
1455,12
1459,44
146,17
1460,23
1468,12
1469,5
147,11
1470,5
1471,5
1472,5
1473,6
1474,6
1475,6
1478,6
1479,6
148,11
1481,89
1482,91
1483,33
1484,33
1486,33
1489,33
149,11
1491,20
1492,20
1493,189
1494,6
1495,5
1496,6
1497,6
1498,6
1499,6
15,87
150,11
1500,6
1501,6
1502,6
1503,5
1504,6
1505,6
1506,29
152,5
153,5
154,5
1542,18
1543,6
1547,44
1548,44
1549,44
1550,5
1551,6
1552,12
1553,6
1554,29
1555,29
1556,45
1557,28
1559,12
156,5
1560,12
1568,38
157,5
158,5
1581,29
1585,6
159,5
1592,20
1593,6
1594,6
1595,34
16,89
1600,6
1601,5
1608,10
1609,4
161,11
1610,8
1611,4
1612,4
1613,4
1614,9
1616,5
1617,4
1618,5
1619,4
162,11
1620,5
1621,10
1622,6
1623,6
1624,6
1625,6
1626,10
1627,9
1628,12
1629,9
163,11
1630,10
1631,20
1632,20
164,11
165,6
166,6
167,6
168,6
171,87
172,57
174,56
175,48
176,11
177,6
179,6
18,66
181,6
182,6
184,6
185,11
186,11
187,11
188,11
189,6
190,6
191,6
192,6
194,6
195,6
196,6
197,11
198,11
199,11
2,20
20,20
200,11
201,16
203,16
204,16
205,16
206,16
207,16
208,23
215,11
216,11
217,11
218,11
22,20
220,11
221,11
223,11
225,5
226,5
228,5
229,5
23,20
236,6
237,6
238,6
239,6
24,20
241,6
242,6
243,6
245,5
247,5
248,5
249,11
25,20
250,11
252,5
254,13
255,20
256,13
258,13
259,13
26,20
260,6
261,6
262,6
27,20
275,12
277,12
278,12
279,12
28,20
280,12
282,12
285,11
292,6
293,6
294,6
295,6
297,6
3,20
300,12
301,6
303,6
304,6
306,6
307,6
308,6
309,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
319,6
320,6
322,6
323,6
324,6
325,6
326,12
327,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,6
34,43
341,6
342,6
343,6
345,6
346,6
347,6
349,6
35,43
350,12
357,6
358,6
36,43
360,40
361,40
362,55
363,35
364,46
365,46
366,17
367,17
368,17
369,6
37,43
370,6
372,6
373,6
374,6
375,6
376,6
378,6
379,6
38,43
380,6
381,6
382,6
384,11
385,11
386,11
387,11
388,10
389,10
39,67
390,10
391,5
393,5
394,5
395,5
396,5
398,6
399,6
4,20
40,67
402,6
403,11
404,5
405,5
406,5
407,5
408,5
409,10
412,11
413,11
414,5
416,5
417,5
418,5
419,11
42,99
420,11
421,11
422,11
423,11
424,11
425,11
426,5
427,5
428,5
429,5
43,99
430,5
432,5
433,5
434,15
435,15
436,15
437,15
438,44
439,44
44,105
440,34
441,30
442,58
444,5
446,21
447,45
448,22
449,22
45,40
450,22
451,22
452,24
453,22
454,22
455,65
456,65
457,65
