stop_id,stop_name,nearest_fountain_m,walk_min,no_water_within_5min
346,Westbound E University Avenue @ SE 21st Street,886,11.1,True
1116,Valwood Neighborhood,1487,18.6,True
1543,NW 2nd St @ NW 16th Ave Northbound,485,6.1,True
194,Eastbound SW 2nd Avenue @ SW 26th Street,1411,17.6,True
1608,Shell Rock Villas,1333,16.7,True
1290,Alachua County Courthouse,311,3.9,False
300,Fast Eddie's Restaurant,892,11.1,True
381,Altrusa House of Gainesville,1382,17.3,True
187,Community Foundation of North Central Florida,900,11.3,True
1557,The Ridge @ SW 38th TER northbound,724,9.1,True
1506,The Trophy Shop,797,10.0,True
157,Westgate Shopping Center,881,11.0,True
111,Southbound SE 15th Street @ SE 4th Avenue,1151,14.4,True
436,Applebee's @ NW 13th Street,1169,14.6,True
518,Santa Fe College @ NW 83rd Street,2784,34.8,True
1169,Northwood Pines Neighborhood,613,7.7,True
1056,Linton Oaks Neighborhood,1548,19.3,True
150,University Lutheran Church,183,2.3,False
528,Northwest Baptist Church,2147,26.8,True
535,B'Nai Israel School & Day Care,1359,17.0,True
461,University Club Apartments,1823,22.8,True
1475,President's Park,876,11.0,True
773,Arbor Park Apartments,916,11.5,True
1427,Holy Faith Catholic Church,1570,19.6,True
1141,Wilmot Gardens,338,4.2,False
709,McCoy Court Apartments,727,9.1,True
46,Beaty Towers,104,1.3,False
932,UF Law School,1218,15.2,True
252,Plaza Verde - NW 23rd Avenue,567,7.1,True
1494,NE 15th St @ NE 20th Pl,385,4.8,False
206,AT&T Building,547,6.8,True
979,Landmark Woods Neighborhood,1674,20.9,True
369,CVS @ NW 13th Street,1084,13.5,True
697,Masonic Temple,392,4.9,False
521,Santa Fe College,3026,37.8,True
1483,aloft Hotel @ Hull Rd Eastbound,907,11.3,True
1553,Health Department,578,7.2,True
537,Willowcroft Neighborhood,636,7.9,True
599,Morningside Nature Center,715,8.9,True
1397,Westbound SW 24th Ave @ SW 61st St,1458,18.2,True
1341,Enclave 4,1234,15.4,True
1253,Graham Hall,232,2.9,False
1623,SW 6th St nearside SW 5th Ave (southbound),388,4.8,False
442,Southbound SW 13th Street @ Inner Road,184,2.3,False
794,Sai Quick Stop,891,11.1,True
1486,Campus Circle Apartments,893,11.2,True
1261,Gardenia Garden Apartments,46,0.6,False
241,Grace Presbyterian Church,1241,15.5,True
