rank,stop_id,stop_name,routes,daily_trips,mean_lst_c,mean_lst_f,shelter_status,pct_no_vehicle,pct_65_plus,lst_percentile,shelter_multiplier,transit_dependence,score
1,807,University Village South Apartments,"20,21,33,52",163,42.1,107.9,none,49.8,0.0,0.923,1.5,1.5,10.587
2,966,Weimer Hall,"9,12,33,38,118",248,43.7,110.7,none,30.5,0.0,0.973,1.5,1.109,8.931
3,842,Southwest Recreation Center,20,61,42.9,109.3,none,49.8,0.0,0.947,1.5,1.5,8.796
4,1254,Gator Corner Dining Facility @ Gale Lemerand,"9,12,33,38,118",248,43.1,109.6,none,30.5,0.0,0.955,1.5,1.109,8.762
5,806,Southwest Recreation Center,20,61,42.3,108.2,none,49.8,0.0,0.93,1.5,1.5,8.636
6,1192,Turlington Hall,"9,12,33,38",210,43.2,109.8,none,30.5,0.0,0.959,1.5,1.109,8.543
7,478,IFAS Lab,"9,12,21,33,52",194,41.0,105.8,unknown,49.8,0.0,0.851,1.25,1.5,8.417
8,1180,Southwest Recreation Center,"21,33,52",102,43.1,109.5,unknown,49.8,0.0,0.952,1.25,1.5,8.274
9,44,Frazier Rogers Hall (Eastbound),"1,8,20,21,37,43,52",229,41.4,106.5,none,30.5,0.0,0.878,1.5,1.109,7.947
10,1193,Rawlings Hall,"1,9,12,33,38",252,41.9,107.5,unknown,30.5,0.0,0.914,1.25,1.109,7.012
11,849,Hume Hall (Eastbound),"20,118",99,40.5,104.9,unknown,49.8,0.0,0.807,1.25,1.5,6.969
12,15,Center Dr @ Museum Rd,"1,21,37,38,52",189,40.1,104.2,none,30.5,0.0,0.77,1.5,1.109,6.724
13,365,Theory Apartments,"8,10,13",96,44.6,112.2,none,21.1,1.9,0.988,1.5,0.92,6.235
14,926,Leigh Hall,118,38,42.5,108.6,none,30.5,0.0,0.935,1.5,1.109,5.698
15,468,Parking & Transportation Services,"9,12,33",153,39.3,102.8,none,30.5,0.0,0.679,1.5,1.109,5.693
16,198,St. Augustine Catholic Church,"5,43",34,42.6,108.7,none,30.5,0.0,0.936,1.5,1.109,5.537
17,199,Keene Flint Hall,"5,43",34,42.4,108.4,none,30.5,0.0,0.932,1.5,1.109,5.515
18,927,Ben Hill Griffin Stadium North End Zone,118,38,41.8,107.3,none,30.5,0.0,0.904,1.5,1.109,5.511
19,200,Anderson Hall,"5,43",34,42.4,108.3,none,30.5,0.0,0.931,1.5,1.109,5.508
20,808,Hilton University of Florida Conference Center,"20,21",90,46.4,115.5,none,15.6,3.3,0.999,1.5,0.808,5.46
